English,Portuguese
{0} forgave {1} of your debt. {2} debt remains.,
{0} paid off {1} in debt.,
Cannot post invalid contract.,
Contract {0} deleted.,
{0} accepted your contract: {1}\n{2} {3},
nothing,
Washing,
Bed,
Rug,
Shelves,
Fueled,
Out of fuel,
Room Requirements,
N,
NE,
E,
SE,
S,
SW,
W,
NW,
Can only add users to this list.,
Registrar,
Managers,
Bank Account,
Slush Fund,
Petty Cash,
Crown Jewels,
Secret Stash,
Off-Shore Account,
Retirement Funds,
Mutual Fund,
Tax Revenues,
Old Money,
New Money,
Rainy-Day Fund,
Reserve Account,
Venture Capital,
Dividends,
Build a tier {0} room at {1} of {2} volume.,
"Volume of room is {0}, must be at least {1}.",
"Tier of room is {0}, must be at least {1}.",
May be appointed by {0}.,
ID: {0},
Appointers,
Appointees,
{0} already has the title {1}.,
{0} assigned the title {1} to {2}.,
{0} does not have the title {1}.,
{0} removed the title {1} from {2}.,
No users are assigned this title.,
"{0} cleared the title {1}, removing {2}.",
{0} deleted the title {1}.,
{0} renamed {1}.,
{0} changed parameters of title {1}.,{0} alteração dos parâmetros do título {1}.
{0} spawned random titles.,
themselves,
King,Rei
Czar,
Baron,Barão
President,Presidente
Vice-President,Vice-Presidente
Minister,Ministro
Dictator,Ditador
Janitor,
Duke,
District Manager,
Superintendent,
Principal,
Officer,
Prime Minister,Primeiro-Ministro
"When calling a command with a {0}, you can specify either its name or the ID number (found in their tooltip).",
Server unique identifier (generates automatically). Should be cleaned-up for new server.,
Server passport which used to confirm it owns ID. Protects from server substitution. Should be cleaned-up for new server.,
{0} for {1} ({2} available),
{0} for {1} ({2} wanted),
Restoring backup '{0}'...,
Circulation:,
Can't find lender bank account to pay into,
Placing water,
BackupPlugin,
ControllerManager,
StorageManager,
WebServerPlugin,
DisasterPlugin,
EconomyPlugin,
ReputationPlugin,
EconomyTracker,
GarbagePlugin,
MinimapManager,
EcoObjectManager,
WorldObjectManager,
ObjectivePlugin,
UserManager,
PropertyManager,
RoomPlugin,
DifficultySettings,
LocalizationPlugin,
SleepPlugin,
ModKitPlugin,
NetworkManager,
ClimateSim,
EcoSim,
TimePlugin,
WorldLayerManager,
WorldPlugin,
WorldGeneratorPlugin,
Steam Truck,
IntegrationTestsPlugin,
Redwood,
Palm,
Trillium,
Taro,
Switchgrass,
Saxifrage,
Pumpkin,
Pineapple,
Peat Moss,
Papaya,
Orchid,
Ocean Spray,
Lupine,
Lattice Mushroom,
Heliconia,
Dwarf Willow,
Desert Moss,
Deer Lichen,
Cookeina Mushroom,
Bolete Mushroom,
Big Bluestem,
Arctic Willow,
Agave,
Deer,Veado
Water Pump,
Pumps water from a source into a pipe network.,
Treats raw sewage.,
Sink,
An industrial sink.,
Spooky pumpkin that emits a mystical light.,
Advanced smelting aids in the production of steel - a key ingredient in the progress of any group.,
Advanced baking mostly improves recipes that involve a leavening agent.,
Trillium Seed,
Plant to grow trillium.,
Trillium Seed Pack,
Taro Seed,
Plant to grow taro.,
Taro Seed Pack,
Saxifrage Seed,
Plant to grow saxifrage.,
Saxifrage Seed Pack,
Redwood Seed,
Plant to grow a redwood tree.,
Redwood Seed Pack,
Pumpkin Seed,
Plant to grow a pumpkin.,
Pumpkin Seed Pack,
Pineapple Seed,
Plant to grow a pineapple plant.,
Pineapple Seed Pack,
Papaya Seed,
Plant to grow a papaya plant.,
Papaya Seed Pack,
Palm Seed,
Plant to grow a palm tree.,
Palm Seed Pack,
Orchid Seed,
Plant to grow an orchid.,
Orchid Seed Pack,
Ocean Spray Seed,
Plant to grow ocean spray.,
OceanSpray,
Ocean Spray Seed Pack,
Lupine Seed,
Plant to grow lupine.,
Lupine Seed Pack,
Lattice Mushroom Spores,
Plant to grow lattice mushrooms.,
LatticeMushroom,
Lattice Mushroom Spores Pack,
Heliconia Seed,
Plant to grow heliconia.,
Heliconia Seed Pack,
Dwarf Willow Seed,
Plant to grow dwarf willow.,
DwarfWillow,
Dwarf Willow Seed Pack,
Cookeina Mushroom Spores,
Plant to grow cookeina mushrooms.,
CookeinaMushroom,
Cookeina Mushroom Spores Pack,
Bolete Mushroom Spores,
Plant to grow bolete mushrooms.,
BoleteMushroom,
Bolete Mushroom Spores Pack,
Big Bluestem Seed,
Plant to grow a big bluestem plant.,
BigBluestem,
Big Bluestem Seed Pack,
Arctic Willow Seed,
Plant to grow arctic willow.,
Arctic Willow Seed Pack,
Agave Seed,
Plant to grow an agave plant.,
Agave Seed Pack,
Rainforest Salad,
Rainforest Fruit Salad,
Mushroom Medley,
Shale,
"A soft rock, with few potential uses. Shale is a sedimentary rock formed by thin layers of compacted clay or mud.",
Sandstone,
Quicklime,
A chemical compound used in steel production.,
Mountain Goat Carcass,
A dead mountain goat.,
Old stone,
Mortared Sandstone,
Mortared Limestone,
Mortared Granite,
Limestone,
"A hard rock useful for construction and industrial processes. Limestone is sedimentary, forming mostly from the fallen compacted remains of marine organisms.",
Granite,Granito
"A hard rock useful for construction, and host to various ores. Granite forms from cooling magma deep underground. It is the most common continental rock type!",
Gneiss,
A hard rock with some uses in construction. Gneiss is a metamorphic rock formed from previous rock recrystallizing at high pressures and temperatures deep in the earth.,
Deer Carcass,
A dead deer.,
Clay,Barro
"A very fine grained deposit of weathered bits of rock. Plastic when wet and brittle when dry, clay is impermeable to many liquids and useful for many industrial and environmental purposes.",
Bighorn Carcass,
A dead bighorn.,
Basalt,Basalto
"A hard and heavy rock with some uses in construction. Basalt forms directly from lava erupted volcanically, making it an extrusive igneous rock. The basis of all bedrock in the oceans.",
Taro Root,
Pineapple Friend Rice,
"A homely recipe made from a mix of cooked rice and fruit. Not only is it friendly, but it also happens to be pan fried.",
Cookeina Mushrooms,
Charred Taro,
Charred Pineapple,
Charred Papaya,
Charred Agave,
Bolete Mushrooms,
Boiled Rice,
Baked Agave,
Agave Leaves,
Urban Traveller: SelfImprovement,
Tool Strength: Logging,
Tool Strength: Mining,
Tool Strength: Gathering,
Tool Efficiency: Logging,
Tool Efficiency: Mining,
Tool Efficiency: Gathering,
Sweeping Hands: Mining,
Nature Adventurer: SelfImprovement,
Natural Gatherer: Gathering,
Lucky Break: Mining,
Loggers Luck: Logging,
Lavish Workspace: AdvancedBaking,
Lavish Workspace: AdvancedCooking,
Lavish Workspace: AdvancedSmelting,
Lavish Workspace: Baking,
Lavish Workspace: BasicEngineering,
Lavish Workspace: Butchery,
Lavish Workspace: Cooking,
Lavish Workspace: CuttingEdgeCooking,
Lavish Workspace: Electronics,
Lavish Workspace: Fertilizers,
Lavish Workspace: Glassworking,
Lavish Workspace: Industry,
Lavish Workspace: Mechanics,
Lavish Workspace: Milling,
Lavish Workspace: OilDrilling,
Lavish Workspace: PaperMilling,
Lavish Workspace: Smelting,
Lavish Workspace: Tailoring,
Frugal Workspace: AdvancedBaking,
Frugal Workspace: AdvancedCooking,
Frugal Workspace: AdvancedSmelting,
Frugal Workspace: Baking,
Frugal Workspace: BasicEngineering,
Frugal Workspace: Butchery,
Frugal Workspace: Cooking,
Frugal Workspace: CuttingEdgeCooking,
Frugal Workspace: Electronics,
Frugal Workspace: Fertilizers,
Frugal Workspace: Glassworking,
Frugal Workspace: Industry,
Frugal Workspace: Mechanics,
Frugal Workspace: Milling,
Frugal Workspace: OilDrilling,
Frugal Workspace: PaperMilling,
Frugal Workspace: Smelting,
Frugal Workspace: Tailoring,
Focused Workflow: AdvancedBaking,
Focused Workflow: AdvancedCooking,
Focused Workflow: AdvancedSmelting,
Focused Workflow: Baking,
Focused Workflow: BasicEngineering,
Focused Workflow: Butchery,
Focused Workflow: Cooking,
Focused Workflow: CuttingEdgeCooking,
Focused Workflow: Electronics,
Focused Workflow: Fertilizers,
Focused Workflow: Glassworking,
Focused Workflow: Industry,
Focused Workflow: Mechanics,
Focused Workflow: Milling,
Focused Workflow: OilDrilling,
Focused Workflow: PaperMilling,
Focused Workflow: Smelting,
Focused Workflow: Tailoring,
Experienced Farmhand: Gathering,
Deadeye: Hunting,
Cleanup Crew: Logging,
Arrow Recovery: Hunting,
Underwater Fertile Ground,
Celsius,
Soil Moisture,
Shrub Space,
Salt Water,
Rainfall,
Potassium,
Phosphorus,
Occupied Underwater Fertile Ground,
Occupied Shrub Space,
Occupied Fertile Ground,
Occupied Canopy Space,
Nitrogen,
meters above bedrock,
Fresh Water,
Fertile Ground,
Debris,
Canopy Space,
Air Pollution,
Trees,Árvores
Trampled Sum,
Shrubs,
Trampled Spread,
Salt Water Spread,
Wolf Capacity,
Turkey Capacity,
Tuna Capacity,
Trout Capacity,
Tortoise Capacity,
Salmon Capacity,
Otter Capacity,
Mountain Goat Capacity,
Hare Capacity,
Fox Capacity,
Elk Capacity,
Deer Capacity,
Bison Capacity,
Bighorn Sheep Capacity,
Player Activity,
Wetland Biome,
Warm Forest Biome,
Tundra Biome,
Boreal Forest Biome,
Rainforest Biome,
Ice Biome,
Grassland Biome,
Forest Biome,
Desert Biome,
Cold Forest Biome,
Paid toll at {0},
Example crafting table that uses liquids.,
Unable to export game to S3: {0}\n{1},
Debris Type,
Prevent removal if no resources would be gained.,
Experience given per harvest.,
How many spawn locations the plant gets relative to the valid area size. Must be < 1.,
How spread the plant spawns are.,
How many plants per spawn point.,
Blanket Spawn Percent,
Generation Spawn Point Multiplier,
Generation Spawn Spread,
Generation Spawn Count Per Point,
North,Norte
Northeast,Nordeste
East,Este
Southeast,Sudeste
South,Sul
Southwest,Sudoeste
West,Oeste
Northwest,Noroeste
Moderator,Moderador
Developer,Desenvolvedor
{0} unclaimed {1} plots owned by users that haven't logged in for more than {2} days.,
"{0}, logged in {1} ago.",
Cannot use for less than 1 day.,
Users affected:,
"Chimney pipe must have only one open end, outside of all rooms, and above the object.",
Titles,
Transport,
Clear Tree Stumps and Debris,
Plow Field,
Receive Permissions,
"{0}, with {1} paid in tax ({2})",
Nested Clause,
Nested clause has at least one invalid one sub-clause:{0},
Nested clause has no sub-clauses specified.,
"Loan a given amount for a set period to another citizen, with interest.\n\nThe borrower can specify the amount they want to borrow, which the lender defines in the 'allowed debt' range.",
"Sell a bond for a given value, which will be paid back over a set period of time with interest.\n\nThe bond purchaser can choose what value of bond they want to buy, within a range set by the bond seller.",
Loan Offer,
Sell Bond,
Put Items in Container,
Harvest {0},
Harvest Field,
Custom Clause,
"Defines a position where a room must be built, with a minimum volume and made of at least the listed materials.\nThe position is marked by a {0}, and you must place one on the location you want the room built.",
Build Room,
"Defines a road that must be built between points A and B, defined by placing a {0} at each position.  The width of the road must be the defined minimum throughout, and it must be made entirely of the listed material.",
Build Road,
"Defines a set of blocks that must exist, or not exist on a property. This can be used for all kinds of things:\n - Removing unwanted plants\n - Removing pollution\n - Planting fields (planted blocks must exist)\n - Removing structures or obstacles.\n\nIf {0} is checked, only surface blocks will be examined.  Otherwise, blocks to a depth of {1} below the highest block will be examined.",
Add blocks from the property at {0} until there are more than {1}.,
Add/Remove Blocks,
Port located at {0}.,
Added {0}. {1} remaining.,
Drag the {0} to your toolbar and select it.,
Pause,
The World will be on Pause if this option is set,
The World will resume as soon as first player login to the world,
{0} ({1}) average room tier,
ville,
Town,
sdale,
burg,
ford,
shire,
berg,
borough,
field,
tropolis,
Square,
rock,
spire,
bury,
Garden,
glen,
stead,
land,
's Landing,
topia,
All users:,
Administrators:,
Reputation: {0} ({1}),
Base Multiplier: {0},
Players,Jogadores
Could not learn {0}: {1},
Nothing to move,
kg,
Talent Benefits,
Can't pick up with current tool,
Damage: {0},
{0}'s Reputation,
{0:verb} {1:benefits description} by {2:skill bonus},
Cannot find elevator - must be placed next to elevator shaft,
Remaining project cancelled.,
Corruption detected in {0}! Exception: {1},
"Backup {0} was corrupt, looking for another backup...",
"Path to file to start the game from for a New World, if null then the World will be generated",
New Game Template,
Auto Backup in: {0:hh\\:mm\\:ss},
Failed to clean old backups: {0},
Special kind of backup which always contains current 'HEAD' state and overwrites every time. It happens often enough to minimize data lose,
Head Backup Enabled,
Extruding cliffs,
Repopulating...,
Eco Server {0},
Shutdown finished,
Initializing,
Initializing Simulation Types,
Buy {0} for {1} {2} from {3}?,
Level {0},
Invalid ip address or hostname,
Amount:,
You can't transfer infinity here!,
Finish the tutorial or skip it before you can access your skills.,
The following error message popped up:\n```\n{0}\n```,
Downloading Mods,
Loading...,
World is frozen,
Tier:,
Completed Tutorials:,
World default currency:,
Ok,
Item:,
Result:,
Titles you may Appoint,
Item name,Nome do item
Old Growth Redwood,
Ceiba,
King Fern,
Filmy Fern,
Allows the setting management of titles.,
"A place to create fishing poles, traps and prepare seafood.",
Allows players to create and use bank accounts.,
How can you save the world if you can't save yourself?,
Advanced baking mostly improves recipes that involve a leavening agent. Level by crafting advanced baking recipes.,
Saguaro Seed,
Plant to grow a saguaro cactus.,
SaguaroCactus,
Saguaro Seed Pack,
King Fern Spore,
Plant to grow king fern.,
KingFern,
King Fern Spore Pack,
Filmy Fern Spore,
Plant to grow a filmy fern.,
FilmyFern,
Filmy Fern Spore Pack,
Heart Of Palm,
Hearts Of Palm,
Collected from the inner core and growing bud of a palm tree.,
Compost Fertilizer,
Slightly increases movement speed in high activity areas.,
Lowers the calorie cost of using related tool by 20 percent.,
Picking up rocks also attempts to pick up similar rocks in an area.,
Slightly increases movement speed in low activity areas.,
Increases the yield of natural plants by 20 percent.,
Mining rocks no longer has a chance to create large chunks.,
Lavish Workspace: Farming,
Lowers the tier requirement of related tables by 0.2,
Frugal Workspace: Farming,
Doubles the speed of related tables when alone.,
Focused Workflow: Farming,
Increases the yield of farmed plants by 20 percent.,
harvesting {0},
mining,mineração
dev command,
User not found with name containing '{0}'.,
ITEMS,
SKILLS,COMPETÊNCIAS
"If not using fully random rotations, spawned trees will be one of these rotations.",
Random Rotations,
is {0}!,
is {0}.,
minute,
minutes,
second,
seconds,
Exception: {0},
"Web Server Url. If not specified then remote IP address will be used. Usually you should ignore it, but if you want to use DNS name or hide web server behind a proxy (for SSL or friendly name) then it may be useful. Uses default port if not explicit port specified (HTTP - 80, HTTPS - 443). Format: http(s)://my.server[:port].",
Remote Address,
Web Server Url,
{0} invoked admin command '{1}',
User Tracker,
{0} Specialty,
{0} Specialties,
{0} posted a new contract {1}:{2},
Open the specialization menu.,
Gain Specialty XP,
Specialties gain level as you use them. Leveling them up grants additional bonuses and occasionally talents.,
Perform an action related to your specialization.,
World is on pause,
World is living,
{0} Specialists,
XP Multiplier,
Current Level: {0},Nível atual: {0}
Character XP: {0} / {1},
XP Multiplier: {0},
Next Level-Up at Current XP Rate: {0},
Specialties available: {0},
{0} has become a {1} specialist.,
unlock,
Stacked,
Room Materials:,
This is not ripe enough to harvest yet.,
Can't find block named {0},
Block type {0} does not create rubble.,
reaction,reação
You gained {0} {1} experience for this work order.,
crafting {0},
Object storage must be empty to pick up.,
furnishing,
{0} Specialty\nLeveled-Up,
Level {0}\nNew Specialty Available.,Nível {0}\nNova especialidade disponível.
Target storage is full!,
How many hourly backups to store. Hourly backup is the first backup in a hour.,
How many daily backups to store. Daily backup is the first hourly backup in a day.,
How many weekly backups to store. Weekly backup is the first daily backup in a week.,
"How often make backups in hours. May be a fractional number. Ex.: 0.5 - every half hour, 2 - every two hours",
Max Hourly Backups,
Max Daily Backups,
Max Weekly Backups,
Terrain Editor,
Choose {0} Level {1} talent,
{0} is currently being researched: {1}.,
You have {0} available specialties.,
Click the star to claim this specialty now.,
You are level {0} with {1} experience. You will level-up at {2} experience.,
You must study and specialize in this skill before you can level it up.,
"You have studied this skill, which leveled you up to Level 0.",
You have not yet studied this skill. Read a skill scroll to reach Level 0.,
"Center: {0}, {1}",
Take {0} from {1},
items,
Reflections,
You must be specialized in {0} to gain experience when {1}.,
You gained {0} experience in {1} by {2}.,
No Collaboration,
Low Collaboration,
Medium Collaboration,
High Collaboration,
Specialty Experience Per Level,
Browser Description,
Wandering Speed,
Head Distance,
Time Stand To Lay,
Time Lay To Stand,
Time Wake Up,
Time Stand To Sit,
Time Sit To Stand,
Instance Type,
Current Population,
Require Harvestable,
Experience Per Harvest,
Move Through Cost,
Population Layer,
Growth Layer,
Yield Layer,
Branching Def,
Top Branch Leaf Points,
Random YRotation,
Debris Resources,
XZScale Range,
YScale Range,
Density,
Interactions,
Requires Neighborhood,
Dependencies,
Post Worldgen Dependencies,
Output Layer,
Describe General,
Range,
Percent,Percentagem
Unit,
Category,
Action,
Input Layer Name,
Target Layer Name,
Active On World Gen,
Proportion Each Tick,
Proportion At Initialization,
Layers To Sum,
Sum Layer,
Biome Layer Name,
Crater,
Chunk Dimensions,
Whitelist,
ID,
Passport,
UPnP Enabled,
Very Low,
Low,
Medium,
High,
Very High,
Waste Filter,
Ceiba Seed,
Ceiba Seed Pack,
ArcticWillow,
Colocasia esculenta,
Round and large,
Nice fresh Pineapple,
Nice fresh Papaya,
Tiny Cup Mushrooms,
Boletus edulis,
Soft and fluffy.,
Parallel Processing: AdvancedBaking,
Parallel Processing: AdvancedCooking,
Parallel Processing: AdvancedSmelting,
Parallel Processing: Baking,
Parallel Processing: BasicEngineering,
Parallel Processing: Butchery,
Parallel Processing: Cooking,
Parallel Processing: CuttingEdgeCooking,
Parallel Processing: Electronics,
Parallel Processing: Fertilizers,
Parallel Processing: Glassworking,
Parallel Processing: Industry,
Parallel Processing: Mechanics,
Parallel Processing: Milling,
Parallel Processing: OilDrilling,
Parallel Processing: PaperMilling,
Parallel Processing: Smelting,
Parallel Processing: Tailoring,
Parallel Processing: Farming,
for leveling up another specialization.,
Growth,
Universal Plug and Play (UPnP) allows to auto-configure external traffic mapping for servers behind NAT,
{0} cannot be given!,
{0} Output,{0} Saida
{0} Input,
"{0} pipe is disconnected, but not currently needed.",
"{0} pipe connected, {1} not currently needed.",
{0} trade,
{0} trades,
{0} contract,
{0} contracts,
PausePlugin,PausarPlugin
"{0:n0} rooms, occupying {1} volume.",
{0:n0} plots claimed.,
"There is no existing citizen with account id '{0}'. You can try again with a username, steamid, or slgid.","Não existe cidadão com o Id da conta '{0}'. Você pode tentar novamente com um nome de usuário, steamid ou slgid."
"Since you last logged in {0} ago, you lost {1} calories",
"Since you last logged in {0} ago, you lost {1} calories and gained {2} XP",
{0:n0} objects,
Trying to move less than 1 item.,
Not enough space in destination inventory.,
Character Leveled-Up,
{0} has no {1} on {2} account.,
Failed to start webserver (second attempt):,
Failed to start webserver (TargetInvocationException):,
Failed to start webserver:,
Are you sure you would like to learn {0}?,
Day {0},
Community Supplies for New Players,
Specialization Setting,
World Size,Tamanho do mundo
Friends,
Treasury Is Empty!,
Do you really want to vanish all the funds for {0} ?,
Copy text and log,
Experience,
"You have not yet specialized in this skill. After studying the skill, you can spend a star to reach level 1.",
Manage Funds,
Talent Choice,
"When you reach this level, you will get to select a special talent related to the specialty.",
Treasury Is Empty!\n,
Amount to Manage:,
Reason:,
Join World,
Manage,
"A string describing when this server typically has active players.  Each character represents an hour, starting from Monday 12am. 0 is 'Rarely', 1 is 'Sometimes', 2 is 'Usually'.  This is automatically set when a client starts the server directly, but can also be set manually. Time must be specified in GMT!  Easiest way to get this string is copy playtime.eco in the settings folder after creating it by running the Eco client.","Não existe cidadão com o ID da conta '{0}'. Você pode tentar novamente com um nome de usuário, steamid ou slgid. Uma sequência que descreve quando esse servidor normalmente possui players ativos. Cada caractere representa uma hora, a partir de segunda-feira às 12h. 0 é 'Raramente', 1 é 'Às vezes', 2 é 'Geralmente'. Isso é definido automaticamente quando um cliente inicia o servidor diretamente, mas também pode ser definido manualmente. A hora deve ser especificada no GMT! A maneira mais fácil de obter essa sequência é copiar playtime.eco na pasta de configurações depois de criá-la, executando o Eco client."
The description of this server. Max 250 characters.,A descrição deste servidor. Máximo de 250 caracteres.
Category for public server listing within the server browser.,Categoria para listagem de servidores públicos no navegador do servidor.
Port for game traffic.  UDP only.  Requires a restart to take effect.,Porta para o tráfego do jogo. Apenas UDP. Requer uma reinicialização para entrar em vigor.
Bind port for web traffic.  TCP only.  Requires a restart to take effect.,Porta de ligação para o tráfego da web. Apenas TCP. Requer uma reinicialização para entrar em vigor.
{0} of {1} citizens currently sleeping.\n(All online citizens must sleep for time to accelerate.),{0} dos {1} cidadãos que estão dormindo no momento. \n (Todos os cidadãos on-line precisam dormir para que o tempo acelere.)
Sleep,Dormir
Fast-Forward disabled on this server.,Avanço rápido desativado neste servidor.
"Can players fast forward time by sleeping in a bed?  If all online players sleep, time will accelerate. (This shouldn't be enabled for public servers!)","Os jogadores podem acelerar o tempo dormindo na cama? Se todos os jogadores online dormirem, o tempo irá acelerar. (Isso não deve estar ativado para servidores públicos!)"
The max time multiplier that time will pass while sleeping.  Lower this to make the simulation fast-forward more reliably.,O multiplicador de tempo máximo que esse tempo passará durante o sono. Abaixe isso para tornar a simulação mais rápida e confiável.
How long it takes to reach the max sleep time.  Makes for a smooth transition into sleeping.,Quanto tempo leva para atingir o tempo máximo de sono. Faz uma transição suave para dormir.
Give Reputation To {0},Dar reputação a {0}
({0}) Available,({0}) Disponível
Your review of {0},Sua opinião sobre {0}
{0} online,
Target Frame Rate,Taxa de quadros alvo
Selected: {0},Seleccionado: {0}
Total Available {0}: {1},Total disponível {0}: {1}
Amount Per Person: {0},Valor por pessoa: {0}
Underwater Distortion,Distorção subaquática
Sunshafts,Raios solares
Fog,Nevoeiro
Ambient Occlusion,Oclusão ambiental
VSync,
Show Interact Cursor,Mostrar cursor de interação
Level Up!\n,Subiu de Nivel!\n
Each level up you gain a star to learn a discovered specialty.,Cada nível você ganha uma estrela para aprender uma especialidade descoberta.
Hewn Logs,Troncos Talhados
Work orders will use nearby tables and storage to fulfill work orders.,As ordens de serviço usarão tabelas e armazenamento próximos para atender às ordens de serviço.
Carrying,Carregando
Currencies In Use,Moedas em uso
Public Crafting Stations,Estações Públicas de Artesanato
Your Debts,Suas dividas
Distance,Distância
Backed\n,Apoiado\n
Type,Tipo
Accepted Contracts,Contractos aceites
Fee/Min,Taxa/Min
Circulation,Circulação
Creator,Criador
Fee/Item,Taxa/Item
Posted Contracts,Contratos Publicados
Wait,Espera
State\n,Estado\n
Name\n,Nome\n
Atmosphere Scattering,Dispersão da atmosfera
Fastest,O mais rápido
Fast,Rápido
Simple,Simples
Good,Bom
Beautiful,Bonito
Fantastic,Fantástico
Points\n,Pontos\n
Trade,Troca
For sale,Para venda
The pie shrinks as your calories go down.,A torta diminui à medida que suas calorias diminuem.
"The better quality and more balanced your diet, the faster you gain experience.","Quanto melhor a qualidade e mais equilibrada sua dieta, mais rápido você ganha experiência."
Track your calories and nutrients here.,Acompanhe suas calorias e nutrientes aqui.
"If you run out of calories, you can't work until you eat.","Se você ficar sem calorias, não poderá trabalhar até comer."
Each slice represents a different nutrient.,Cada fatia representa um nutriente diferente.
Fat,Gordura
Carbohydrates,Carboidratos
Protein,Proteína
Housing and Furniture,Habitação e Mobiliário
You can renovate your house or build new rooms as they become available.,Você pode reformar sua casa ou construir novos quartos assim que estiverem disponíveis.
Higher tier housing materials will increase your experience rate.,Materiais de habitação de nível superior aumentarão sua taxa de experiência.
Advanced crafting stations will require rooms made from advanced materials.,As estações de artesanato avançadas exigirão salas feitas de materiais avançados.
Add furniture to your rooms to gain additional experience from it.,Adicione móveis aos seus quartos para obter experiência adicional.
You'll need to create villages and cities to build all the types of rooms you need.,Você precisará criar aldeias e cidades para construir todos os tipos de quartos necessários.
View your house and furniture quality here.,Veja a qualidade da sua casa e móveis aqui.
Room Complete!,Quarto completo!
General\n,Geral\n
Bathroom,Casa de banho
Bedroom,Quarto
Choose Contract Destination,Escolha o destino do contrato
Delete,Excluir
Title​,Titulo
Who Can Access,Quem pode aceder
Show All,Mostre tudo
Title:,Título:
Actual Behavior:,Comportamento Atual:
Expected Behavior:,Comportamento Esperado:
Steps To Reproduce:,Passos para reproduzir:
Location,Local
Move,Mexer
Reset Defaults,Restaurar padrões
Music,Música
Primary,Primário
Mouse Sensitivity,Sensibilidade do rato
Confirm,Confirma
Confirm settings? Resetting in,Confirmar configurações? Repor em
Field of View,Campo de visão
Press any key to continue . . .,Pressione qualquer tecla para continuar . . .
Fullscreen,Ecrã inteiro
Tutorials,Tutoriais
Render Scale\n,Escala de Renderização\n
Shadow Quality,Qualidade das Sombras
Disconnect,Desconectar
View Distance,Distância de Visualização
Select Construct,Selecionar Construção
Invert Mouse Y,Inverter Rato Y
Interact,Interagir
Restart Tutorial\n,Reiniciar Tutorial\n
Action Bar,Barra d'ações
Use Tool,Usar a Ferramenta
Logout,Desconectar-se
Sprint,Correr
Set Play Times\n,Define o tempo do jogo \n
Interface Scale,Escala da Interface
Resolution,Resolução
Secondary,Secundário
Minimap Detail,Detalhes do Minimapa
Jump,Saltar
Rotate Left,Rodar Esquerda
Rotate Right,Rodar Direita
Quit,Sair
SFX,Efeitos Sonoros
Place Block,Colocar Bloco
Toolbar,Barra de Ferramentas
Brightness,Brilho
Your Objective,Seu Objetivo
Set,Definir
Split Stack,Dividar
Deposit\n,Deposito\n
New Game,Novo Jogo
Continue,Continuar
password\n,palavra-passe\n
Server requires a password to connect,O servidor requer uma senha para conectar-se
Load,Carga
Log in to your Strange Loop account,Faça login na sua conta Strange Loop
Login,
On,
Fuel Supply\n,Abastecimento de combustível\n
psi,
Repetitions:,Repetições:
Time Left:,Tempo Restante:
Hours To Complete:,Horas para completar:
Accepted By:,Aceite por:
Job Finished,Trabalho concluído
Auto-Accept:,Auto-aceite:
Drop Marker,Queda de Marco
Markers,Marcos
Follow Player,Seguir jogador
Spin Planet,Rodar planeta
Show In World,Mostrar no mundo
Delete all Markers,Apagar todos os marcadores
Copy to Clipboard,Copiar para área de transferência
Display Offscreen,Exibir fora da tela
Color:,Cor:
Remove,Remover
Display Distance,Mostrar distancia
Shirt,Camisa
Masculine,Masculino
Clothing,Roupas
Body,Corpo
Belt,Cinto
Shoes,Sapatos
Pants,Calças
Hair,Cabelo
Hat,Chapéu
Skin,Pele
Feminine,Feminino
Okay,
Select All,Seleccionar tudo
Trash Pile\n,Pilha de lixo\n
Task Complete,Tarefa completa
Head,Cabeça
Walking,Andar
Edit,Editar
Suit\n,Traje\n
Back,Costas
Working,Trabalhar
Third Person,Terceira pessoa
Slot 8,
Slot 5,
Slot 4,
Slot 9,
Slot 1,
Slot 7,
Slot 6,
Slot 3,
Slot 2,
Slot 0,
"You gain experience over time, even when logged off.","Você ganha experiência ao longo do tempo, mesmo quando desconectado."
Learning specialties give you bonuses and level up through use.,As especialidades de aprendizado oferecem bônus e aumentam de nível com o uso.
Experience gained is based on your diet and housing.,A experiência adquirida é baseada em sua dieta e moradia.
Specialties grant large benefits to the player when taken.,A experiência adquirida é baseada em sua dieta e moradia.
Experience gain is multiplied by your experience multiplier.,O ganho de experiência é multiplicado pelo seu multiplicador de experiência.
"You can only pick one talent per option, so choose wisely!","Você só pode escolher um talento por opção, então escolha sabiamente!"
Level up your chosen specialties by performing related actions.,Nivele as especialidades escolhidas executando ações relacionadas.
Occasionally specialties allow you to pick between special talents.,"Ocasionalmente, as especialidades permitem escolher entre talentos especiais."
Crafting is done through a system called work orders.,A elaboração é feita através de um sistema chamado ordens de serviço.
Work orders will pause and resume depending on available resources.,"As ordens de serviço serão pausadas e retomadas, dependendo dos recursos disponíveis."
Work orders can be queued up and rearranged as they progress.,As ordens de serviço podem ser enfileiradas e reorganizadas à medida que progridem.
You can order more products than you have ingredients.,Você pode solicitar mais produtos do que ingredientes.
Your XP Multiplier is determined by food + housing.,O seu multiplicador XP é determinado por comida + caixa.
Trunk Resources,Recursos de tronco
Character XP,Personagem XP
Select Targets,Selecionar destinos
Create Title,Criar Título
Direct Transfer Tax (own),Imposto sobre Transferência Direta (próprio)
Direct Transfer Tax (public),Imposto de Transferência Direta (público)
Mark Failed,Marcar como Falhado
Post,Postar
Mark Finished,Marcar como Concluído
Off,
Extreme,Extremo
