,A toothed machine part that interlocks with others.,"Зубчаста деталь машинерії, що зчіплюється з іншими."
,A highly efficient conductor for delicate electronics.,Високоефективний провідник для делікатної електроніки.
,Unrefined ore with traces of gold.,Неочищена руда зі слідами золота.
,A dead hare.,Мертвий заєць.
,A log hewn and shaped to be a building material.,"Обтесана колода, підготовлена як будівельний матеріал."
,Unrefined ore with traces of iron.,Неочищена руда зі слідами заліза.
,Some creepy kelp.,Якась страшненька ламінарія.
,A thick hide.,Товста шкіра.
,A stack of logs.,Купа колод.
,Can be fashioned into various usable equipment.,Можна прикрасити різне корисне обладнання.
,Used to create tough but rudimentary buildings.,Використовується для створення простих міцних будівель.
,Unstable nuclear fuel.,Нестабільне ядерне паливо.
,It's paper.,Це папір.
,A moving component that transfers force. Can also function as a valve occasionally.,"Рухомий елемент, який передає зусилля. Може також функціонувати як клапан, час від часу."
,An extremely useful synthetic material derived from petrochemicals,"Надзвичайно корисний синтетичний матеріал, отриманий із нафтопродуктів."
,A salmon.,Лосось.
,A rotary actuator that allows for control over angular position.,"Обертаючий привід, що дозволяє контролювати кутове положення."
,A rocky surface formed from smoothed rubble. It's fairly durable and efficient for any wheeled vehicle.,"Кам’яниста поверхня, утворена з щебеню. Досить надійна і ефективна для будь-якого колісного транспорту."
,CHEEEAAAAATER,ЧІ-І-І-І-ІТЕР
,The foundation material for complex electronics.,Основний матеріал для складної електроніки.
,A little bit of light to help beat back the night.,"Трошки світла, щоби відігнати ніч."
,Clear cut debris that needs to be broken down to be more usable.,"Для хоч якогось використання цього сміття, гарненько порубайте його."
,A trout.,Пструг.
,A tuna.,Тунець.
,A dead turkey,Мертва індичка
,An urchin.,Морський їжак.
,"A device that regulates, directs, or controls the flow of fluid.","Пристрій, що регулює, спрямовує або контролює потік рідини."
,A dead wolf.,Мертвий вовк.
,Plant to grow an oak tree.,"Посадіть, щоби виростити дуб."
,Oak,Дуб
,A good source of protein.,Гарне джерело білків.
,Plant to grow beets.,"Посадіть, щоби виростити буряки."
,Plant to grow into a birch sapling.,"Посадіть, щоби виростити березу."
,Birch,Береза
,Plant to grow bunchgrass.,"Посадіть, щоби виростити купчасту траву."
,Bunchgrass,Купчаста трава
,Plant to grow a camas plant.,"Посадіть, щоби виростити камасію."
,Camas,Камасія
,Plant to grow a cedar sapling.,"Посадіть, щоби виростити кедр."
,Cedar,Кедр
,Plant to grow corn.,"Посадіть, щоби виростити кукурудзу."
,Plant to grow creosote bushes.,"Посадіть, щоби виростити креозотові кущі."
,CreosoteBush,
,Plant to grow crimini mushrooms.,"Посадіть, щоби виростити печериці."
,CriminiMushroom,
,Plant to grow ferns.,"Посадіть, щоби виростити папороть."
,Fern,Папороть
,Plant to grow fireweed.,"Посадіть, щоб виростити дикий льон."
,Fireweed,Дикий льон
,Plant to grow a fir tree.,"Посадіть, щоб виростити ялину."
,Fir,Ялина
,Plant to grow grass.,"Посадіть, щоби виростити траву."
,CommonGrass,
,Plant to grow a huckleberry bush.,"Посадіть, щоби виростити чорниці."
,Huckleberry,Чорниці
,Plant to grow kelp.,"Посадіть, щоби виростити ламінарію."
,Plant to grow prickly pear cacti.,"Посадіть, щоби виростити опунцію."
,PricklyPear,
,Plant to grow rice.,"Посадіть, щоби виростити рис."
,How did you even get this?,Як ви це отримали?
,Plant to grow tomato plants.,"Посадіть, щоби виростити помідори."
,Plant to grow waterweed.,"Посадіть, щоби виростити елодею."
,Waterweed,Елодея
,Plant to grow wheat.,"Посадіть, щоби виростити пшеницю."
,Large cart for hauling sizable loads.,Великий віз для громіздкого вантажу.
,Small wheelbarrow for hauling minimal loads.,Малий візок для перевезення малих вантажів.
,A solid shaped piece of metal used to hammer ingots into tools and other useful things.,Щільно сформований шмат металу для перековування злитків в інструменти та інші корисні речі.
,A solidly built brick oven useful for baking all manner of treats.,Цегляна піч для виготовлення будь-яких смаколиків.
,A superior replacement for the bloomery that can produce steel.,"Неймовірна заміна сиродутного горна, яка дозволяє виготовляти сталь."
,A chimney-shaped furnace for smelting ores.,Піч у формі труби для переплавлення руд.
,A place to store knowledge and information; leads to the town hall.,Місце для зберігання знань та інформації; веде до ратуші.
,A metal stand which can hold burning fuel to provide light.,"Металева стійка, на якій можна розмістити та запалити паливо, що забезпечує світло."
,A block and cleaver to process raw meat into fancier dishes.,Колодка і великий ніж для перетворення сирого м’яса у привабливіші страви.
,Cook like a caveman on an uneven fire.,"Готуйте, як печерна людина, на нерівномірному вогні."
,A fancy candelabra for providing small amounts of light.,"Екстравагантний свічник, що дає невелику кількість світла."
,A table for basic wooden crafts for home improvement and progress.,"Стіл для простих робіт по дереву, що покращують будинок."
,The perfect stove for the fledgling chef.,Ідеальна пічка для кухаря-початківця.
,A fancy hanging candelabra.,Екстравагантний підвісний свічник.
,Consumes most fuels to produce energy.,Споживає більшість різновидів палива для виробництва енергії.
,A place where you can sit all day and play video games! Or work on expert-level research.,"Місце, де можна сидіти цілий день і грати у відеоігри! Або працювати над дослідженнями мегаскладного рівня."
,A board to post contracts.,Дошка для розміщення договорів.
,A sweet couch to lounge on. Now with room for your friends!,Милий диван для відпочинку. Тепер з місцем для ваших друзів!
,Allows players to exchange currency.,Дає гравцям можливість обміняти валюту.
,A statue of a dolphin. What could it mean?,Статуя дельфіна. Що б це значило?
,A wall mounted lamp that requires electricity to turn on.,"Ствітильник змонтований на стіні, потребує електричного струму для роботи."
,A set of machinery to create electronics.,Знаряддя для створення електроніки.
,A complex set of machinery for creating equally complex things.,Складний набір машинерії для створення таких же складних речей.
,A box of ice. It's in the name!,Коробка з льодом. Це й по назві ясно!
,Useful for baking bricks and finishing pottery.,Згодиться для обпечення цегли і гончарних виробів.
,A prep area for food which allows for more complex dishes.,"Місце приготування їжі, що дозволяє створювати більш складні страви."
,For researching the science side of cooking. Science rules!,Для досліджень наукової частини приготування їжі. Наука понад усе!
,AVOID DIRECT EYE EXPOSURE,УНИКАЙТЕ ПРЯМОГО ВПЛИВУ НА ОЧІ
,A wooden potty.,Дерев’яний горщичок.
,A fancy tool bench that creates equally fancy toys.,"Дивний верстат, на якому створюються такі ж дивні іграшки."
,A workstation for hewing and shaping stone into usable objects.,Майстерня для обтесування і висікання з каменю корисних об’єктів.
,Refines food resources by crushing them under a stone millstone.,Переробляє харчові продукти шляхом розтирання кам’яним жерновом.
,Allows for the creation of currency.,Дозволяє можливість створення валют.
,Sets of pipes and tanks which refine crude petroleum into usable products.,Комплекти труб і ємностей для переробки сирої нафти в придатні для використання продукти.
,A comfy chair to rest in.,Зручне крісло для відпочинку.
,Sometimes you just want to bring a little bit of nature into your house.,Іноді просто хочеться принести трохи природи у будинок.
,"Drill, baby! Drill!","Свердли, крихітко! Свердли!"
,An icebox from the future with significantly better cooling properties.,Льодовник з майбутнього із набагато кращими охолоджувальними властивостями.
,A basic table for researching new technologies and skills.,Простий стіл для дослідження нових технологій і вмінь.
,For rolling steel into more buildable materials.,Для катання сталі у більш привабливі будівельні матеріали.
,A large area rug to cover that weird stain.,"Килим великої площі, щоби прикрити ту дивну пляму."
,A medium rug for medium uses.,Килим середніх розмірів для посередніх застосувань.
,A small rug for when you just didn't have enough materials to make a bigger one.,"Маленький килимок на випадок, коли на більший матеріалів ще нема."
,A basket of salt.,Кошик солі.
,Used to saw wood into lumber.,Використовується для розпилу дерева на пиломатеріали.
,When a shelf and a cabinet aren't enough individually.,Коли полиць і шафок не вистачає.
,Designates a 5x5x5 area as storage for large items.,"Позначає зону 5x5x5, як сховище для великих предметів."
,A stone stand which can hold burning fuel to provide light.,"Кам’яна стійка, на якій можна розмістити та запалити паливо, що забезпечує світло."
,PLACEHOLDER,
,A container you can store items in.,"Контейнер, у якому можна зберігати речі."
,Allows the selling and trading of items.,Дозволяє продаж та купівлю предметів.
,A heavy stove for cooking more complex dishes.,Масивна плита для приготування більш складних страв.
,A towering metal light post that requires electricity to run.,"Височенний металевий ліхтар, що потребує електричного струму для роботи."
,A candle which can burn tallow to produce a small amount of light.,"Свічка з перетопленого сала, що, згоряючи, дає дуже мало світла."
,A pottery lamp. Fuel with tallow.,Керамічна лампа. Заповнена розтопленим салом.
,A candle mounted on a wall bracket which can burn tallow to produce a small amount of light.,"Свічка з перетопленого сала, змонтована на стіні, що, згоряючи, дає дуже мало світла."
,A stand for a torch.,Стійка для факелу.
,Allows the setting of taxes.,Дозволяє встановлювати податки.
,A set of smoothing and woodworking tools that assist in creating wheels and transportation.,"Набір для обробки деревини, що допомагає у створенні колісного транспорту."
,A wall mounted candle.,Настінна свічка.
,Sometimes it can be nice to have clean clothes.,Добре час від часу мати чистий одяг.
,Why hand scrub your clothes on a washboard when you could throw them into this magical cleaning machine?,"Для чого вручну терти одяг на пральній дошці, якщо можна кинути його до цієї магічної чистячої машини?"
,A much more comfortable bed made with fabric.,"Набагато зручніше ліжко, зроблене з тканини."
,"A nice, scratchy and horrible uncomfortable bed. But at least it keeps you off the ground.","Миле, дряпуче і страшне незручне ліжко. Принаймні, спите не на землі."
,A large sign for all your large text needs!,Велика дерев’яна табличка для великих нотаток!
,A bench for the basics and making even more benches.,Верстат для простих речей і виробництва інших верстатів.
,Oil Amount,Рівень олива
,Error or otherwise informative message goes here.,Помилки чи інші інформаційні повідомлення відображаються тут.
,Eco,
,Mine,Добувати
,Place,Розмістити
,Pick Up,Підібрати
,Rotate\n,Повернути\n
,Hidden,Приховане
,{0:name} has logged in to this world for the first time!,{0:name} вперше заходить до цього світу!
,Grass,Трава
,Hare,Заєць
https://ru.wikipedia.org/wiki/Вапити#Олень_или_лось?https://eco.gamepedia.com/Elk#Real_life_Facts,Elk,Лось
,Wolf,Вовк
,Creosote Bush,Креозотовий кущ
,Prickly Pear,Опунція
,Bison,Бізон
,Turkey,Індичка
,Fox,Лисиця
,Otter,Видра
,Salal,Гаультерія шалон
,Amanita Mushroom,Мухомор
,Crimini Mushroom,Печериці
,Saguaro Cactus,Карнегія
,Tortoise,Черепаха
Chat command/Parameter for chat command /species,species,види
,item,предмет
,benefit,вигода
,recipe,рецепт
,Loading objects,Завантаження об’єктів
,Loading items...,Завантаження предметів…
,Loading objects...,Завантаження об’єктів…
,Entering world...,Вхід до світу…
,Loading,Завантаження
,Thanks for supporting ECO!,Дякуємо за підтримку ECO!
,AWOOOOOOOOO,АГО-О-О-О-ОВ
,[Select on toolbar and right-click to place.],"[Виберіть на панелі інструментів і клацніть правою кнопкою миші, щоби розмістити.]"
,Repair requires {0},Ремонт вимагає {0}
,English,
,That item is not the right type of clothing,Цей предмет не є правильним типом одягу
,{0} Calories,{0} калорій
,"No nutrients, {0}","Ніяких поживних речовин, {0}"
,Not enough room in inventory,Не вистачає місця в інвентарі
,Can't modify an item stack quantity to below zero,Не можна змінити кількість елементів у стеку нижче нульової
,{0:skill} is required to craft this.,"Щоби створити це, необхідне вміння: {0:skill}."
,A {0:room module} is needed to craft {1:item},Для виготовлення {1:item} необхідно {0:room module}
,{0:skill scroll} created. Read to gain skill or share with other players.,"{0:skill scroll} створено. Прочитайте, щоб отримати вміння або поділитися з іншими."
,{0:username} discovered {1:skill}!,{0:username} відкрито {1:skill}!
,Done.,Готово.
,{0} paid to {1}.,{0} сплачено {1}.
,A bread with a camas twist for a bit of flavor and fun.,Хліб із домішками камасії для додання смаку і задоволення.
,Loading world,Завантаження світу
,Chop,Рубати
,Smite,Знищити
,Reap,Косити
,Dig,Копати
,"Displays government activity, such as laws and elections, and provides links to the server's web page.","Показує державну діяльність, наприклад закони та вибори, а також має посилання на веб-сторінку сервера."
,Your currently carried items.,"Те, що ви несете."
,Opens the world graphs.,Відкриває світові графіки.
,"Opens the objectives panel, showing the stated objectives and other activities of citizens.","Відкриває панель цілей, показуючи поточні цілі й інші заняття містян."
,Store Credit,Кредит крамниці
,A multiplier applied to the cost of learning a specialty.,"Множник, що застосовується до вартості навчання спеціальності."
,Whether or not a meteor exists in the world.,"Як би там не було, а метеорит у світі існує."
,Time in days when the meteor will impact.,Час у днях до зіткнення з метеоритом.
,"Whether to use a whitelist to choose which mods to load.  If disabled, all mods will be loaded.","Чи використовувати білий список для вибору модифікацій для завантаження? Якщо вимкнено, то завантажаться всі модифікації."
,"If the WhitelistEnabled setting is turned on, the whitelist of mods to load, by .dll file name","Якщо параметр WhitelistEnabled ввімкнено, то білий список модів завантажується файлами з розширенням .dll"
,Check for unity file updates regularly. (Useful if you are actively building mod bundles and don't want to restart the server to test changes.),"Регулярна перевірка цілісності файлів. (Корисно при активній розробці модів, щоби перевіряти зміни без перезапуску сервера.)"
,Whether or not to post this server to Strange Loop Games public server listings.,Відображати чи ні даний сервер у списках серверів Strange Loop Games.
,"If not empty, require this password to connect to the server, unless the connecting user is on the whitelist.","Якщо не порожньо, то потребує цей пароль для з’єднання з сервером, хіба що користувач у білому списку."
,The description of this server.,Опис цього сервера.
,Port for game traffic.,Порт для використання грою.
,Port for web traffic.,Порт для використання браузером.
,"Rate at which the server sends updates to clients, per second.  (1 - 60)","Швидкість, з якою сервер надсилає оновлення до клієнтів, за секунду.  (1 — 60)"
,"If set, rooms can have empty blocks serve as windows and still count as a room.","Якщо ввімкнено, то приміщення може мати порожнини, які слугуватимуть вікнами, і вважатися приміщенням."
,Game progress time advances at this rate.,Проведений у грі час множиться на цей показник.
,Base skill rate gain.,Початковий рівень отримання вмінь.
,Scales skill penalty due to suffocation. (0 to disable),"Штраф на вміння через задуху. (0, щоби вимкнути)"
,Number of layer images/day to store in save file. (Default: 4),Кількість шарів зображення на добу для файлу збереження. (За замовчуванням: 4)
,"Scales how time of day matches real time.  Higher numbers result in shorter day/night cycles, but will not affect simulation speed.","Відображає відповідність ігрового часу реальному. Вищі цифри призводять до коротких дня/ночі, але не впливають на швидкість симуляції."
,"How often to write changed data to disk, in seconds.","Частота записів змінених даних на диск, в секундах."
,"If true, removes failed to load objects upon loading.","Якщо ввімкнено, то прибирає невдало завантажені об’єкти."
,Whether or not to validate users with the accounts server.,Перевіряти чи ні користувачів з обліковими записами сервера.
,"Allows debug calls to be made to the webserver, like 'GenerateTestData'.","Дозволяє виклики зневадження спрямовувати на веб—сервер, такі як «GenerateTestData»."
,Users on the whitelist do not need to enter a password to connect to a passworded server.  Use either SLG ID or STEAMID64,"Користувачам у білому списку немає необхідності вводити пароль, щоби приєднатися до запароленого сервера. Також працює з SLG ID чи STEAMID64"
,Blacklisted users are denied connection to the server.  Use either SLG ID or STEAMID64,Користувачам у чорному списку заборонено приєднуватися до сервера. Також працює з SLG ID чи STEAMID64
,"Admins are allowed to use the chat commands. (/ban, /give, etc.)  Use either SLG ID or STEAMID64","Адміністраторам дозволено використовувати команди чату.  (/ban, /give, тощо).  Також працює з SLG ID чи STEAMID64"
,Spawn location,Місце появи
,The titles players are given for each reputation level.,Титули гравцям надаються за кожен рівень репутації.
,Time between World Object Ticks in milliseconds. (0 for variable),Час між рухами світових об’єктів у мілісекундах. (0 для змінної)
,Tick World Objects in parallel,Паралельний облік рухів світових об’єктів
,World generation seed.,Ключ генерації світу.
,Chunk dimensions of the world along X-Z.,Наділи світу вздовж X-Z.
,Sea level height.,Висота рівня моря.
,Maximum height of the world when generating terrain.,Максимальна висота світу під час створення місцевості.
,Defines the world module for world generation.,Визначає світовий модуль для створення світу.
,Default atmosphere object type for the world.,Тип атмосферного об’єкту світу по замовчуванню.
,Max % of one CPU to use for ticking world chunks. (25% - 100%),Максимальний % використання одного CPU для наділів світу. (25-100%)
,Decorative plants are not simulated after being spawned,Декоративні рослини не будуть підлягати симуляції після появи
,Lives under water,Живе під водою
,"After harvesting, we reset their growth percent to this value, 0 -1.  0 means kill the plant.","Після збору врожаю, ми встановлюємо відсоток зростання до цього значення, 0 — 1. 0 — знищити рослину."
,"If this gets scythed, does it die?","Якщо скосити це, воно загине?"
,"If I can pick this, at what percent is that possible?","Якщо я виберу оце, то під який відсоток?"
,The exponential rate parameter describing the birth rate of the species in ideal growth conditions and no competition.  The % of the population in the area that will reproduce in one tick.,"Параметр експоненційної швидкості, що описує рівень народжуваності виду в умовах ідеального зростання і відсутності конкуренції.  Відсоток населення в районі, який відтворюється за один раз."
,The exponential rate parameter describing the death rate of the species in ideal growth conditions and no competition.  The % of the population in the area that will die in one tick.  Should always be LESS than MaxGrowthRate.,"Параметр експоненційної швидкості, що описує рівень смертності виду в умовах ідеального зростання і відсутності конкуренції.  Відсоток населення в районі, яке помре за один раз. Завжди повинно бути МЕНШИМ за MaxGrowthRate."
,The exponential rate parameter describing the rate at which the plant spreads to adjacent locations.,Показник рівня по експоненті показує рівень поширення рослин по прилеглим територіям.
,Consumable resources that limit growth.,"Витратні ресурси, які обмежують зростання."
,Environment capacities that limit growth.,"Можливості навколишнього середовища, які обмежують зростання."
,The plant's preferred temperature range.  Temperatures in this range won't inhibit population growth or reduce yield.,Улюблений температурний діапазон рослин. Температура в цьому діапазоні не перешкоджає  зростанню та не зменшує врожай.
,The plant's preferred moisture range.  Moisture in this range won't inhibit population growth or reduce yield.,Улюблений рівень вологості рослин. Рівень вологості в цьому діапазоні не перешкоджає  зростанню та не зменшує врожай.
,The temperature range that can support this plant (albeit at reduced efficiency if the temperature is not also within the ideal range).  Temperatures outside this range prohibit reproduction entirely and prevent any yield at all.,"Температурний діапазон, що сприймається рослиною (ефективність зменшено, якщо температура не ідеальна). Рівень температури поза діапазоном повністю зупиняє розмноження і перешкоджає дозріванню врожаю."
,"The maximum ground pollution density that the plant can tolerate.  Above this value, the plant cannot reproduce, and will have zero yield.","Максимальне забруднення землі, що витримується рослиною. За рівня забруднення понад цим показником, рослина не розмножується і не дає врожаю."
,The voxelsPerEntry that this species should be tracked at.,"voxelsPerEntry, на якому потрібно відстежувати цей вид."
,"The string which is used as an identifier for this species. Cannot be edited freely, as it is referenced by other config.","Рядок, який використовується як ідентифікатор для цього виду. Не можна вільно редагувати, бо він пов’язаний з іншими конфігураціями."
,The displayed name of this species. Can be edited freely.,Відображуване ім’я цього виду. Можна вільно редагувати.
,Maturity age in days.  Organisms older than this value are considered fully grown and can reproduce.,"Зрілість у днях. Організми, старші цього значення вважаються дорослими і можуть розмножуватися."
,"List of ranges where the corresponding branches begin to grow, as well as the rate of their growth","Список діапазонів, де відповідні гілки починають рости, а також темпи їх зростання"
,"If true, spawned trees will be rotated at a random angle.","Якщо ввімкнено, то дерева з’являться вивернутими під випадковим кутом."
,The number of branches this tree will have.,"Кількість гілок, яке матиме це дерево."
,Economy,Економіка
,Rooms,Кімнати
,Initializing...,Ініціалізація…
,Running...,Запуск…
,Localizer,Локалізатор
,Network,Мережа
Storage menu in server panel,Storage,Сховище
,World,Світ
,Time,Час
,Reputation,Репутація
,Housing,Житло
,Users,Користувачі
,Property Manager,Диспетчер властивостей
,Disasters,Стихійні лиха
,Minimap,Мінімапа\n
,Chat,Чат
,Controller,Контролер
,Simulation,Симуляція
,Route Probing,Дослідження маршрутів
,Economy Tracker,Відстежувач економіки
,World Objects,Світові цілі
,Plugins,Доповнення
,ModKit,Пакунок модів
,Stats,Статистика
,WorldGenerator,Генератор світу
,Objects,Об’єкти
,Backup,Резервне копіювання
,Difficulty Settings,Складність
,WebServer,Веб-сервер
,Average tick: {0:n1}ms,Середній рух світу: {0:n1}мс
,Mods are Running,Працюючих модів
,{0:n0} objects; Average tick: {1:n1}ms,{0:n0} об’єктів; Середній рух світу: {1:n1}мс
,Controllers: {0:n0} Changes/s: {1:n1} Average update: {2:n1}ms Last clean: {3:n1}ms,Контролери: {0:n0} зміни/с: {1:n1} середнє оновлення: {2:n1}мс останнє очищення: {3:n1}мс
,{0} users,{0} користувачів
,Output wires: {0},Вихідні зв’язки: {0}
,Danger lurks in the skies above...,Небезпека ховається над небесами…
,"{0:n0} trades, {1:n0} contracts, {2:n0} tables","{0:n0} торгівельних угод, {1:n0} договорів, {2:n0} верстатів"
,Current Language: {0},Обрана мова: {0}
,Total rep points given: {0},Загалом очок репутації: {0}
,Last save time: {0:n1}ms,Останнє збереження: {0:n1}мс
,Display,Відображення
,Config,Конфігурація
,\n - Next save in: {2:n1}s; {3},\n — Наступне збереження: {2:n1}с; {3}
,Dump,Дамп
,"{0:n0} Walkable Blocks, {1} Large Regions","{0:n0} прохідних блоків, {1} великих регіонів"
,World Layers Simulation,Cимуляція шарів світу
,Total size:      {0:n1}kb,Загальний розмір:      {0:n1}кб
,Total ticks:     {0},Загалом рухів світу:    {0}
,State: {0},Стан: {0}
,Last tick: {0:n1}ms,Останній рух світу: {0:n1}мс
,Max world tick: {0:n1}ms,Максимальний рух світу: {0:n1} мс
,Average world tick: {0:n1}ms,Середній рух світу: {0:n1} мс
Total number of chunks in the world,Total chunks: {0:n0},Загалом наділів: {0:n0}
Total number of active chunks in the world,Active chunks: {0:n0} [{1:0.00}%],Активні наділи: {0:n0} [{1:0.00}%]
Total number of frozen chunks in the world,Frozen chunks: {0:n0} [{1:0.00}%],Заморожені наділи: {0:n0} [{1:0.00}%]
Total number of packed chunks in the world,Total chunk packs: {0:n0},Загалом пакунків наділів: {0:n0}
Total number of chunks packs that are marked dirty in the world,Dirty chunk packs: {0:n0} [{1:0.00}%],Брудних пакунків наділів: {0:n0} [{1:0.00}%]
,{0} Block types,{0} типів блоків
,Average tick: {0:n1}ms    Last tick: {1:n1}ms    Combined Times: {2:n1},Середній рух світу: {0:n1}мс    Останній рух світу: {1:n1}мс    Час разом: {2:n1}
,"The currently selected language. If you change languages, you'll need to restart the server for changes to fully take effect.","Поточна мова. Якщо ви змінюєте мову, вам необхідно перезапустити сервер, щоби зміни набули чинності."
,Average {0} {1:n1}ms    Last: {2:n1}ms,Середнє {0} {1:n1}мс Останнє: {2:n1}мс
,Average {0} {1:n2}ms    Last: {2:n2}ms,Середнє {0} {1:n2}мс Останнє: {2:n2}мс
,"The world is safe for now, at least from the meteor.","Тепер світ у безпеці, принаймні, від метеориту."
,(Next level: {0}),(Наступний рівень: {0})
,{0:verb} {1:benefits description} by {2:skill bonus} {3:next level},{0:verb} {1:benefits description} на {2:skill bonus}{3:next level}
,Contract State: {0},Статус договору: {0}
,Client: {0},Клієнт: {0}
,Contractor: {0},Підрядник: {0}
,Contract invalid:\n{0},Договір недійсний:\n{0}
,Contract time has expired!  Client can mark 'Job Failed' at anytime,Час на виконання договору вичерпано! Замовник може позначити роботу як «Не виконано» у будь-який момент
,Time remaining: {0},Залишилося часу: {0}
,Width must be greater than zero.,Ширина має бути більше ніж нуль.
,Reputation relative to {0},"Репутація, відносно {0}"
,{0} is too low: {1} but must be {2}.,"{0} надто низько: {1}, але має бути {2}."
," - {0} {1}, soft-cap at {2}.","— {0} {1}, нижній рівень в {2}."
,"{0} {1}, soft-cap at {2}.","{0} {1}, нижній рівень в {2}."
,"After a room's value passes its soft-cap, additional value will diminish exponentially.","Після того, як цінність кімнати проходить нижній рівень, додаткова цінність буде зменшуватися експоненціально."
,Room Composition,Вміст приміщення
,Material quality: {0},Якість матеріалу: {0}
,Room value was soft-capped from {0} to {1} due to materials ({2} reduction),Цінність кімнати обмежено з {0} до {1} через матеріали ( {2} зменшено)
,"Includes natural blocks (caves, mud huts, etc).","Містить природні блоки (печери, землянки, тощо)."
,Includes,Містить
,{0}{1} free volume in room.,{0}{1} вільного місця в приміщенні.
,Compile Error,Помилка компілятора
,Total size:      {0:n1}kb\r\n,Загальний розмір:      {0:n1}кб\r\n
,Total ticks:     {0}\r\n,Загалом рухів світу:    {0}\r\n
,Failed to start.,Не вдалося запустити.
,Finished world generation in {0:n1}ms,Створення світу завершено за {0:n1}мс
,Terrain,Рельєф
,Special,Особливе
,Actions,Дії
,Encasement,Пакування
,Freeze,Затримка
,Total blocks: {0:n0},Загалом блоків: {0:n0}
,Could not start server: {0},Не вдалося запустити сервер: {0}
{0} - save name e.g. A save named 'nice new world' already exists,A save named '{0}' already exists,"Збереження, назване «{0}», вже існує"
,Blocked by object.,Заблоковано об’єктом.
,Not enough items carried to place.,Принесено недостатньо предметів.
,Click a stockpile or vehicle to pick up materials.,"Клацніть на складі чи транспорті, щоби підняти матеріали."
,Click to begin building a wall.,Клацніть для початку будівництва стіни.
,Click to build a {0} x {1} x {2} wall ({3} blocks).,"Клацніть, щоби збудувати стіну {0} х {1} х {2} (з {3} блоків)."
,Landscape blocking placement.,Розміщення блокується ландшафтом.
,Must attach to ground.,Повинно з’єднуватися з землею.
,Owned by ,У власності
,{0} Color,Колір {0}
,"Can't start single player.\nHosting a single player Eco server requires a 64-bit system, and you are currently running 32-bits.","Не вдається почати самітний режим.\nСервер для самітного режиму Eco потребує 64-бітної системи, а ви наразі користуєтеся 32-бітною."
,Put {0},Покласти {0}
,Take,Взяти
,Use,Використати
,Previous,Попередній
,OK,Гаразд
,Time Zone: {0},Часовий пояс: {0}
,{0} selected.,{0} обрано.
,Forgive,Пробачити
,How much of this debt do you want to forgive? Up to {0}.,Скільки боргів ви бажаєте пробачити? До {0}.
,Submit,Надіслати
,Pay,Платити
,PAST DUE,ПРОСТРОЧЕНО
,NO MORE WANTED,БІЛЬШЕ НЕ ПОТРІБНО
,SOLD OUT,РОЗПРОДАНО
,{0}w ({1}w when operating),"{0}Вт ({1}Вт, коли працює)"
,~ {0} remaining,~ {0} залишилося
,No Fuel,Нема пального
,{0}w ({1} when operating),"{0}Вт ({1}, коли працює)"
,Invalid ip address,Неправильна IP-адреса
,Please enter a name for the service.,"Будь ласка, введіть ім’я для послуги."
,Please enter a URI for the service.,"Будь ласка, введіть URI для послуги."
,The URI you entered is not a valid URI.,Введений вами URI хибний.
,New Beginnings,Нові починання
,Learn to play in a new world with other beginners.,Вчіться грати у новому світі разом з іншими новачками.
,Cities Upon a Hill,Міста на пагорбі
,Worlds with established cities welcoming new citizens.,Світи з влаштованими містами вітають нових громадян.
,Brave Frontiers,Хоробрі першопрохідці
,Experienced citizens in highly-collaborative worlds.,Досвідчені громадяни у світах з добре організованою спільною працею.
,Strange Worlds,Дивні світи
,Modded worlds exploring unique experiences.,"Модифіковані світи, дослідження яких дає унікальні враження."
,Active Hours in {0}: {1} match,Активних годин в {0}: знайдено {1}
Help text for chat command /yes,Yes,Так
For chat command /day,day,день
,Join,Приєднатися
,Offline,Не в мережі
,"This is a test server containing the next release of the game, which will be kept stable (so you can play normally here long-term).\n\nTo play here, you will need to switch to the staging build.","Це тестовий сервер, що містить наступні випуски гри у стабільному стані (отже, ви зможете тут нормально грати довгий час).\n\nДля гри тут вам необхідно перемкнутися на тестову збірку."
,"In Steam, right click Eco and select 'Properties'.  On the Beta tab, opt-in and select the build called 'Staging'.",Клацніть правою кнопкою миші у Steam на Eco й оберіть «Властивості». На вкладці «Бета» оберіть збірку «Staging».
,This server is running a different version.  You are running {0} but the server is running {1}.,"Цей сервер працює на іншій версії.  Вами запущена {0}, а на сервері — {1}."
,"This is a test server containing the next release of the game, which will be kept stable (so you can play normally here long-term).","Це тестовий сервер, що містить наступні випуски гри у стабільному стані (отже, ви зможете тут нормально грати довгий час)."
,"To switch to the staging build, in Steam, right click Eco and select 'Properties'.  On the Beta tab, opt-in and select the build called 'Staging'.",Для переходу  на тестову збірку у Steam клацніть правою кнопкою миші на Eco й оберіть «Властивості». На вкладці «Бета» оберіть збірку «Staging».
,Unlimited,Необмежено
,Open in your browser?,Відкрити у браузері?
,Whether or not to keep backups.,Чи слід зберегти резервні копії.
,How many backups to store for the last hour.,Як багато резервних копій зберігати за останню годину.
,Name of the save to load at startup.,Назва збереження для завантаження при запуску.
,\r\n\r\nForce Save All Stats:\r\n{0},\r\n\r\nЗагальне примусове збереження статистики:\r\n{0}
,Other,Інші
,Everyone,Усі
,Admins,Адміністратори
,No user provided,Немає користувачів
,Lasers have been activated! Meteor targeted. {0} seconds to destruction.,Лазери активовано і наведено на метеорит! До знищення {0} с.
,{0} halted. {1},{0} зупинено. {1}
,None,Немає
